Quote Number,API Quote,API Author,Length (chars),Category,Quote ID
1,"If you're waiting until you feel talented enough to make it, you'll never make it.",Criss Jami,82,"<blockquote>&ldquo;If you're waiting until you feel talented enough to make it, you'll never make it.&rdquo; &mdash; <footer>Criss Jami</footer></blockquote>",N/A
2,Actions are the seeds of fate. Deeds grow into destiny.,Harry S. Truman,55,<blockquote>&ldquo;Actions are the seeds of fate. Deeds grow into destiny.&rdquo; &mdash; <footer>Harry S. Truman</footer></blockquote>,N/A
3,"Real growth comes through intense, difficult, and challenging situations.",Kamal Ravikant,73,"<blockquote>&ldquo;Real growth comes through intense, difficult, and challenging situations.&rdquo; &mdash; <footer>Kamal Ravikant</footer></blockquote>",N/A
4,"The man who does not value himself, cannot value anything or anyone.",Ayn Rand,68,"<blockquote>&ldquo;The man who does not value himself, cannot value anything or anyone.&rdquo; &mdash; <footer>Ayn Rand</footer></blockquote>",N/A
5,"While we may not be able to control all that happens to us, we can control what happens inside us.",Benjamin Franklin,98,"<blockquote>&ldquo;While we may not be able to control all that happens to us, we can control what happens inside us.&rdquo; &mdash; <footer>Benjamin Franklin</footer></blockquote>",N/A
6,Good things aren't supposed to just fall into your lap.,Audrey Hepburn,55,<blockquote>&ldquo;Good things aren't supposed to just fall into your lap.&rdquo; &mdash; <footer>Audrey Hepburn</footer></blockquote>,N/A
7,"If a thing is worth doing, it is worth doing badly.",Gilbert Chesterton,51,"<blockquote>&ldquo;If a thing is worth doing, it is worth doing badly.&rdquo; &mdash; <footer>Gilbert Chesterton</footer></blockquote>",N/A
8,Associate with people who are likely to improve you.  ,Seneca,54,<blockquote>&ldquo;Associate with people who are likely to improve you.  &rdquo; &mdash; <footer>Seneca</footer></blockquote>,N/A
9,Few things are more deceptive than memories.,Carlos Ruiz Zafon,44,<blockquote>&ldquo;Few things are more deceptive than memories.&rdquo; &mdash; <footer>Carlos Ruiz Zafon</footer></blockquote>,N/A
10,Your worth consists in what you are and not in what you have.,Thomas Edison,61,<blockquote>&ldquo;Your worth consists in what you are and not in what you have.&rdquo; &mdash; <footer>Thomas Edison</footer></blockquote>,N/A
11,Muddy water is best cleared by leaving it alone.,Alan Watts,48,<blockquote>&ldquo;Muddy water is best cleared by leaving it alone.&rdquo; &mdash; <footer>Alan Watts</footer></blockquote>,N/A
12,"Your work is to discover your work and then, with all your heart, to give yourself to it.",Buddha,89,"<blockquote>&ldquo;Your work is to discover your work and then, with all your heart, to give yourself to it.&rdquo; &mdash; <footer>Buddha</footer></blockquote>",N/A
13,Every day is lost in which we do not learn something useful. Man has no nobler or more valuable possession than time.,Thomas Jefferson,117,<blockquote>&ldquo;Every day is lost in which we do not learn something useful. Man has no nobler or more valuable possession than time.&rdquo; &mdash; <footer>Thomas Jefferson</footer></blockquote>,N/A
14,"When meditation is mastered, the mind is unwavering like the flame of a lamp in a windless place.",Bhagavad Gita,97,"<blockquote>&ldquo;When meditation is mastered, the mind is unwavering like the flame of a lamp in a windless place.&rdquo; &mdash; <footer>Bhagavad Gita</footer></blockquote>",N/A
15,Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,Mark Twain,114,<blockquote>&ldquo;Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.&rdquo; &mdash; <footer>Mark Twain</footer></blockquote>,N/A
16,"The harder the conflict, the greater the triumph. ",George Washington,50,"<blockquote>&ldquo;The harder the conflict, the greater the triumph. &rdquo; &mdash; <footer>George Washington</footer></blockquote>",N/A
17,The only thing new in the world is the history you do not know.,Harry S. Truman,63,<blockquote>&ldquo;The only thing new in the world is the history you do not know.&rdquo; &mdash; <footer>Harry S. Truman</footer></blockquote>,N/A
18,Learn from the mistakes of others. You can't live long enough to make them all yourself.,Eleanor Roosevelt,88,<blockquote>&ldquo;Learn from the mistakes of others. You can't live long enough to make them all yourself.&rdquo; &mdash; <footer>Eleanor Roosevelt</footer></blockquote>,N/A
19,"He who knows, does not speak. He who speaks, does not know.",Lao Tzu,59,"<blockquote>&ldquo;He who knows, does not speak. He who speaks, does not know.&rdquo; &mdash; <footer>Lao Tzu</footer></blockquote>",N/A
20,Most of us will do anything to avoid facing ourselves.,Lolly Daskal,54,<blockquote>&ldquo;Most of us will do anything to avoid facing ourselves.&rdquo; &mdash; <footer>Lolly Daskal</footer></blockquote>,N/A
21,Life is like playing the violin in public and learning the instrument as one goes on.,Samuel Butler,85,<blockquote>&ldquo;Life is like playing the violin in public and learning the instrument as one goes on.&rdquo; &mdash; <footer>Samuel Butler</footer></blockquote>,N/A
22,Leadership is solving problems,Colin Powell,30,<blockquote>&ldquo;Leadership is solving problems&rdquo; &mdash; <footer>Colin Powell</footer></blockquote>,N/A
23,Don't try to be young. Just open your mind. Stay interested in stuff.,Betty White,69,<blockquote>&ldquo;Don't try to be young. Just open your mind. Stay interested in stuff.&rdquo; &mdash; <footer>Betty White</footer></blockquote>,N/A
24,"If you don't like something change it; if you can't change it, change the way you think about it.",Mary Engelbreit,97,"<blockquote>&ldquo;If you don't like something change it; if you can't change it, change the way you think about it.&rdquo; &mdash; <footer>Mary Engelbreit</footer></blockquote>",N/A
25,He who has overcome his fears will truly be free.,Aristotle,49,<blockquote>&ldquo;He who has overcome his fears will truly be free.&rdquo; &mdash; <footer>Aristotle</footer></blockquote>,N/A
26,"Raise your words, not voice. It is rain that grows flowers, not thunder.",Rumi,72,"<blockquote>&ldquo;Raise your words, not voice. It is rain that grows flowers, not thunder.&rdquo; &mdash; <footer>Rumi</footer></blockquote>",N/A
27,"Poetry is written with tears, fiction with blood, and history with invisible ink.",Carlos Ruiz Zafon,81,"<blockquote>&ldquo;Poetry is written with tears, fiction with blood, and history with invisible ink.&rdquo; &mdash; <footer>Carlos Ruiz Zafon</footer></blockquote>",N/A
28,"Be curious, not judgmental.",Walt Whitman,27,"<blockquote>&ldquo;Be curious, not judgmental.&rdquo; &mdash; <footer>Walt Whitman</footer></blockquote>",N/A
29,"Often we pass beside happiness without seeing it, without looking at it, or even if we have seen and looked at it, without recognizing it.",Alexandre Dumas,138,"<blockquote>&ldquo;Often we pass beside happiness without seeing it, without looking at it, or even if we have seen and looked at it, without recognizing it.&rdquo; &mdash; <footer>Alexandre Dumas</footer></blockquote>",N/A
